URI,wareki,year
nij02-nijl_nijl_nijl_azumakagami_0000003816,元暦二年四月十一日,C.E. 1185-05-12
nij02-nijl_nijl_nijl_azumakagami_0000007326,文治三年九月十三日,C.E. 1187-10-16
nij02-nijl_nijl_nijl_azumakagami_0000032213,建長四年四月三日,C.E. 1252-05-12
nij02-nijl_nijl_nijl_azumakagami_0000040536,補遺・承久四年八月二十一日,
nij02-nijl_nijl_nijl_azumakagami_0000040476,補遺・建保七年二月一日,
nij02-nijl_nijl_nijl_azumakagami_0000030589,建長二年三月一日,C.E. 1250-04-04
nij02-nijl_nijl_nijl_azumakagami_0000026526,仁治元年十二月十二日,C.E. 1241-01-25
nij02-nijl_nijl_nijl_azumakagami_0000039898,文永二年七月十六日,C.E. 1265-08-28
nij02-nijl_nijl_nijl_azumakagami_0000029937,宝治二年正月七日,C.E. 1248-02-03
nij02-nijl_nijl_nijl_azumakagami_0000024203,文暦二年八月二十一日,C.E. 1235-10-04
nij02-nijl_nijl_nijl_azumakagami_0000009275,文治五年八月十日,C.E. 1189-09-21
nij02-nijl_nijl_nijl_azumakagami_0000021920,貞応三年正月一日,C.E. 1224-01-22
nij02-nijl_nijl_nijl_azumakagami_0000024660,嘉禎二年八月三十日／九月一日条別巻,C.E. 1236-10-01
nij02-nijl_nijl_nijl_azumakagami_0000004472,文治元年八月三十日,C.E. 1185-09-25
nij02-nijl_nijl_nijl_azumakagami_0000002062,養和二年五月二十五日,C.E. 1182-06-27
nij02-nijl_nijl_nijl_azumakagami_0000020761,承久元年十二月十七日,C.E. 1220-01-24
nij02-nijl_nijl_nijl_azumakagami_0000027317,寛元元年七月十七日,C.E. 1243-08-04
nij02-nijl_nijl_nijl_azumakagami_0000010785,建久元年九月十七日,C.E. 1190-10-17
nij02-nijl_nijl_nijl_azumakagami_0000025231,嘉禎四年正月二十八日,C.E. 1238-02-14
nij02-nijl_nijl_nijl_azumakagami_0000013422,建久四年九月七日,C.E. 1193-10-03
nij02-nijl_nijl_nijl_azumakagami_0000028824,寛元四年四月八日／四月十四日条別巻,C.E. 1246-04-25
nij02-nijl_nijl_nijl_azumakagami_0000039501,弘長三年九月十日,C.E. 1263-10-13
nij02-nijl_nijl_nijl_azumakagami_0000007539,文治三年十月二十九日,C.E. 1187-11-30
nij02-nijl_nijl_nijl_azumakagami_0000037452,文応元年十一月二十一日,C.E. 1260-12-24
nij02-nijl_nijl_nijl_azumakagami_0000000363,治承四年八月二日,C.E. 1180-08-24
nij02-nijl_nijl_nijl_azumakagami_0000021850,貞応二年六月二十日／二十六日条別巻,C.E. 1223-07-19
nij02-nijl_nijl_nijl_azumakagami_0000036067,正嘉二年三月一日,C.E. 1258-04-06
nij02-nijl_nijl_nijl_azumakagami_0000020327,建保六年六月二十七日,C.E. 1218-07-21
nij02-nijl_nijl_nijl_azumakagami_0000039604,弘長三年十一月二十三日,C.E. 1263-12-25
nij02-nijl_nijl_nijl_azumakagami_0000028860,寛元四年五月二十四日,C.E. 1246-07-08
nij02-nijl_nijl_nijl_azumakagami_0000034410,建長八年六月二十九日,C.E. 1256-07-22
nij02-nijl_nijl_nijl_azumakagami_0000039833,文永二年六月三日,C.E. 1265-07-16
nij02-nijl_nijl_nijl_azumakagami_0000026024,延応元年三月五日,C.E. 1239-04-10
nij02-nijl_nijl_nijl_azumakagami_0000019227,建暦三年七月十一日／二十日条別巻,C.E. 1213-07-30
nij02-nijl_nijl_nijl_azumakagami_0000033455,建長五年八月十五日,C.E. 1253-09-09
nij02-nijl_nijl_nijl_azumakagami_0000009181,文治五年七月二十五日,C.E. 1189-09-07
nij02-nijl_nijl_nijl_azumakagami_0000042697,補遺・延応元年四月十四日,
nij02-nijl_nijl_nijl_azumakagami_0000002908,元暦元年五月十五日,C.E. 1184-06-24
nij02-nijl_nijl_nijl_azumakagami_0000040124,文永三年三月二十八日,C.E. 1266-05-04
nij02-nijl_nijl_nijl_azumakagami_0000031168,建長三年正月一日,C.E. 1251-01-24
nij02-nijl_nijl_nijl_azumakagami_0000037113,正元二年四月一日,C.E. 1260-05-12
nij02-nijl_nijl_nijl_azumakagami_0000011552,建久二年正月三日,C.E. 1191-01-29
nij02-nijl_nijl_nijl_azumakagami_0000040329,補遺・建暦三年七月二十日,
nij02-nijl_nijl_nijl_azumakagami_0000024069,文暦二年閏六月二十四日,C.E. 1235-08-09
